MES;ENTIDAD;INVERSION
2017-07;CaixaBank;24699800.00%
2017-07;CaixaBank;24797500.00%
2017-07;CaixaBank;25109000.00%
2017-07;CaixaBank;25262600.00%
2017-07;CaixaBank;25451400.00%
2017-07;Caja Rural de Navarra;24733100.00%
2017-07;CajaSur;1996400.00%
2017-07;Coinc;25484600.00%
2017-07;EVO Banco;24708200.00%
2017-07;Ibercaja;23154800.00%
2017-07;Ibercaja;24387800.00%
2017-07;Ibercaja;24401600.00%
2017-07;Ibercaja;25112100.00%
2017-07;imaginBank;14146600.00%
2017-07;imaginBank;23500400.00%
2017-07;imaginBank;25101400.00%
2017-07;ING Direct;24527900.00%
2017-07;ING Direct;25326900.00%
2017-07;ING Direct;25342800.00%
2017-07;Kutxabank;22879700.00%
2017-07;Kutxabank;24720200.00%
2017-07;Laboral Kutxa;7746800.00%
2017-07;Laboral Kutxa;22347500.00%
2017-07;Laboral Kutxa;24273700.00%
2017-07;Laboral Kutxa;24751400.00%
2017-07;Laboral Kutxa;25270800.00%
2017-07;Liberbank;25437600.00%
2017-07;Openbank;24767300.00%
2017-07;Openbank;24805500.00%
2017-07;Openbank;25274900.00%
2017-07;Openbank;25288500.00%
2017-07;Pictet;18985600.00%
2017-07;Popular;22934500.00%
2017-07;Popular;25117300.00%
2017-07;Popular;25331900.00%
2017-07;Sabadell;470200.00%
2017-07;Sabadell;470700.00%
2017-07;Sabadell;3796300.00%
2017-07;Sabadell;9944400.00%
2017-07;Sabadell;15649000.00%
2017-07;Sabadell;15980000.00%
2017-07;Sabadell;16550800.00%
2017-07;Sabadell;17944900.00%
2017-07;Sabadell;23070200.00%
2017-07;Sabadell;23332100.00%
2017-07;Sabadell;23819900.00%
2017-07;Sabadell;24048200.00%
2017-07;Sabadell;24401500.00%
2017-07;Sabadell;25450300.00%
2017-07;Santander;464300.00%
2017-07;Santander;1301400.00%
2017-07;Santander;4626800.00%
2017-07;Santander;8554400.00%
2017-07;Santander;10055900.00%
2017-07;Santander;13545900.00%
2017-07;Santander;14859800.00%
2017-07;Santander;14999300.00%
2017-07;Santander;16793200.00%
2017-07;Santander;23022200.00%
2017-07;Santander;23993300.00%
2017-07;Santander;24005200.00%
2017-07;Santander;24070100.00%
2017-07;Santander;24732400.00%
2017-07;Santander;24828100.00%
2017-07;Santander;25173500.00%
2017-07;Santander;25240600.00%
2017-07;Santander;25243200.00%
2017-07;Santander;25249700.00%
2017-07;Santander;25301900.00%
2017-07;Santander;25341600.00%
2017-07;Santander;25603200.00%
2017-07;Self Bank;7894500.00%
2017-07;Self Bank;19452500.00%
2017-07;Self Bank;24724400.00%
2017-07;Self Bank;25550700.00%
2017-07;UBS;22978200.00%
2017-07;Unicaja;23403800.00%
2017-07;Unicaja;23605000.00%
2017-07;Unicaja;23685700.00%
2017-07;Unicaja;24830800.00%
2017-07;Unicaja;25240000.00%
2017-07;Unicaja;25240400.00%
2017-07;Unicaja;25270900.00%
2017-07;Unicaja;25295400.00%
2017-07;WiZink;16796800.00%
2017-07;WiZink;17055000.00%
2017-07;WiZink;18034400.00%
2017-07;WiZink;23491700.00%
2017-07;WiZink;24400900.00%
2017-07;WiZink;24503700.00%
2017-07;WiZink;24721200.00%
2017-08;Banca March;23601800.00%
2017-08;Bankia;1864200.00%
2017-08;Bankia;18054800.00%
2017-08;Bankia;22795200.00%
2017-08;Bankia;24460600.00%
2017-08;Bankia;25731000.00%
2017-08;Bankinter;24125300.00%
2017-08;BBVA;472900.00%
2017-08;BBVA;11199800.00%
2017-08;BBVA;16595700.00%
2017-08;BBVA;24048100.00%
2017-08;BBVA;24141900.00%
2017-08;BBVA;24778500.00%
2017-08;BBVA;25293700.00%
2017-08;BBVA;25509300.00%
2017-08;BBVA;25537400.00%
2017-08;BBVA;25558500.00%
2017-08;CaixaBank;463100.00%
2017-08;CaixaBank;1792700.00%
2017-08;CaixaBank;3795400.00%
2017-08;CaixaBank;8313300.00%
2017-08;CaixaBank;14987100.00%
2017-08;CaixaBank;16627500.00%
2017-08;CaixaBank;16793500.00%
2017-08;CaixaBank;17511000.00%
2017-08;CaixaBank;22153000.00%
2017-08;CaixaBank;23490800.00%
2017-08;CaixaBank;24109300.00%
2017-08;CaixaBank;24493900.00%
2017-08;CaixaBank;24494300.00%
2017-08;CaixaBank;24699800.00%
2017-08;CaixaBank;24797500.00%
2017-08;CaixaBank;25262600.00%
2017-08;imaginBank;23500400.00%
2017-08;ING Direct;24527900.00%
2017-08;ING Direct;25326900.00%
2017-08;ING Direct;25342800.00%
2017-08;ING Direct;25442800.00%
2017-08;Laboral Kutxa;7746800.00%
2017-08;Laboral Kutxa;14604100.00%
2017-08;Laboral Kutxa;22347500.00%
2017-08;Laboral Kutxa;24273700.00%
2017-08;Laboral Kutxa;25270800.00%
2017-08;Openbank;24767300.00%
2017-08;Openbank;25274900.00%
2017-08;Openbank;25288500.00%
2017-08;Popular;25331900.00%
2017-08;Sabadell;470200.00%
2017-08;Sabadell;470700.00%
2017-08;Sabadell;3796300.00%
2017-08;Sabadell;15980000.00%
2017-08;Sabadell;17944900.00%
2017-08;Sabadell;22879600.00%
2017-08;Sabadell;23070200.00%
2017-08;Sabadell;23332100.00%
2017-08;Sabadell;23819900.00%
2017-08;Sabadell;25450300.00%
2017-08;Santander;8554400.00%
2017-08;Santander;14859800.00%
2017-08;Santander;14999300.00%
2017-08;Santander;17449700.00%
2017-08;Santander;23022200.00%
2017-08;Santander;24828100.00%
2017-08;Santander;25523800.00%
2017-08;Santander;25730100.00%
2017-08;Self Bank;7894500.00%
2017-08;Self Bank;19452500.00%
2017-08;Self Bank;24724400.00%
2017-08;Self Bank;25550700.00%
2017-08;Unicaja;23605000.00%
2017-08;Unicaja;23685700.00%
2017-08;Unicaja;24830800.00%
2017-08;Unicaja;25240000.00%
2017-08;Unicaja;25240400.00%
2017-08;Unicaja;25270900.00%
2017-08;WiZink;17055000.00%
2017-08;WiZink;23491700.00%
2017-08;WiZink;24503700.00%
2017-08;WiZink;24721200.00%
2017-09;a&g;25925700.00%
2017-09;Banca March;23601800.00%
2017-09;Bankia;1864200.00%
2017-09;Bankia;16184300.00%
2017-09;Bankia;18054800.00%
2017-09;Bankia;18992700.00%
2017-09;Bankia;22795200.00%
2017-09;Bankia;24460600.00%
2017-09;Bankia;25271500.00%
2017-09;Bankia;25731000.00%
2017-09;Bankia;25916900.00%
2017-09;Bankia;25937800.00%
2017-09;Bankinter;24125300.00%
2017-09;BBVA;472900.00%
2017-09;BBVA;2216600.00%
2017-09;BBVA;11199800.00%
2017-09;BBVA;15927300.00%
2017-09;BBVA;16595700.00%
2017-09;BBVA;17088100.00%
2017-09;BBVA;19120900.00%
2017-09;BBVA;23008800.00%
2017-09;BBVA;24048100.00%
2017-09;BBVA;24141900.00%
2017-09;BBVA;24433700.00%
2017-09;BBVA;24778500.00%
2017-09;BBVA;25293700.00%
2017-09;BBVA;25509300.00%
2017-09;BBVA;25823800.00%
2017-09;BBVA;25939000.00%
2017-09;BNP Paribas;18984900.00%
2017-09;BNP Paribas;23806900.00%
2017-09;CaixaBank;463100.00%
2017-09;CaixaBank;465300.00%
2017-09;CaixaBank;1792700.00%
2017-09;CaixaBank;3795400.00%
2017-09;CaixaBank;8313300.00%
2017-09;CaixaBank;9311900.00%
2017-09;CaixaBank;14987100.00%
2017-09;CaixaBank;16793500.00%
2017-09;CaixaBank;17511000.00%
2017-09;CaixaBank;17536200.00%
2017-09;CaixaBank;19334200.00%
2017-09;CaixaBank;19365800.00%
2017-09;CaixaBank;22153000.00%
2017-09;CaixaBank;22784000.00%
2017-09;CaixaBank;22948500.00%
2017-09;CaixaBank;23057400.00%
2017-09;CaixaBank;24279800.00%
2017-09;CaixaBank;24493900.00%
2017-09;CaixaBank;24797500.00%
2017-09;CaixaBank;25101000.00%
2017-09;CaixaBank;25262600.00%
2017-09;CaixaBank;25300700.00%
2017-09;CaixaBank;25720300.00%
2017-09;CaixaBank;25721600.00%
2017-09;CaixaBank;25738500.00%
2017-09;CaixaBank;25903300.00%
2017-09;CaixaBank;25924000.00%
2017-09;CajaSur;18629000.00%
2017-09;EVO Banco;24708200.00%
2017-09;Ibercaja;24040100.00%
2017-09;Ibercaja;24060200.00%
2017-09;Ibercaja;24401600.00%
2017-09;Ibercaja;25112100.00%
2017-09;Ibercaja;25791100.00%
2017-09;imaginBank;23500400.00%
2017-09;imaginBank;25797100.00%
2017-09;ING Direct;24527900.00%
2017-09;ING Direct;25326900.00%
2017-09;ING Direct;25342800.00%
2017-09;ING Direct;25442800.00%
2017-09;Kutxabank;22948900.00%
2017-09;Kutxabank;25905900.00%
2017-09;Laboral Kutxa;7746800.00%
2017-09;Laboral Kutxa;22347500.00%
2017-09;Laboral Kutxa;24273700.00%
2017-09;Laboral Kutxa;25270800.00%
2017-09;Morgan Stanley;23873000.00%
2017-09;Openbank;1200100.00%
2017-09;Openbank;24767300.00%
2017-09;Openbank;25274900.00%
2017-09;Pictet;18985600.00%
2017-09;Pictet;24118300.00%
2017-09;Popular;25117300.00%
2017-09;Popular;25331900.00%
2017-09;Sabadell;470200.00%
2017-09;Sabadell;470700.00%
2017-09;Sabadell;15980000.00%
2017-09;Sabadell;17944900.00%
2017-09;Sabadell;23070200.00%
2017-09;Sabadell;23332100.00%
2017-09;Sabadell;23819900.00%
2017-09;Sabadell;24048200.00%
2017-09;Sabadell;24112600.00%
2017-09;Sabadell;25702200.00%
2017-09;Sabadell;25821900.00%
2017-09;Sabadell;25905200.00%
2017-09;Sabadell;25938800.00%
2017-09;Sabadell;26171600.00%
2017-09;Santander;1301400.00%
2017-09;Santander;1469100.00%
2017-09;Santander;8554400.00%
2017-09;Santander;10055900.00%
2017-09;Santander;13545900.00%
2017-09;Santander;14859800.00%
2017-09;Santander;14999300.00%
2017-09;Santander;16366400.00%
2017-09;Santander;17449700.00%
2017-09;Santander;22419500.00%
2017-09;Santander;23022200.00%
2017-09;Santander;24005200.00%
2017-09;Santander;24070100.00%
2017-09;Santander;24767600.00%
2017-09;Santander;25249700.00%
2017-09;Santander;25523800.00%
2017-09;Santander;25727500.00%
2017-09;Santander;25815200.00%
2017-09;Santander;25923600.00%
2017-09;Santander;26373000.00%
2017-09;Self Bank;7894500.00%
2017-09;Self Bank;9286700.00%
2017-09;Self Bank;24724400.00%
2017-09;Self Bank;25607400.00%
2017-09;Self Bank;26003100.00%
2017-09;UBS;22978200.00%
2017-09;UBS;26046200.00%
2017-09;Unicaja;23403800.00%
2017-09;Unicaja;23605000.00%
2017-09;Unicaja;23685700.00%
2017-09;Unicaja;24830800.00%
2017-09;Unicaja;25240400.00%
2017-09;Unicaja;25512900.00%
2017-09;Unicaja;25615600.00%
2017-09;Unicaja;25740200.00%
2017-09;WiZink;23491700.00%
2017-09;WiZink;24503700.00%
2017-10;a&g;25925700.00%
2017-10;Banca March;23601800.00%
2017-10;Bankia;1864200.00%
2017-10;Bankia;18054800.00%
2017-10;Bankia;22795200.00%
2017-10;Bankia;22979300.00%
2017-10;Bankia;25119500.00%
2017-10;Bankia;25731000.00%
2017-10;Bankia;25937800.00%
2017-10;Bankia;26468900.00%
2017-10;Bankinter;18307800.00%
2017-10;Bankinter;24125300.00%
2017-10;BBVA;472900.00%
2017-10;BBVA;2216600.00%
2017-10;BBVA;11199800.00%
2017-10;BBVA;15927300.00%
2017-10;BBVA;16595700.00%
2017-10;BBVA;16728600.00%
2017-10;BBVA;17088100.00%
2017-10;BBVA;23008800.00%
2017-10;BBVA;23345900.00%
2017-10;BBVA;23605500.00%
2017-10;BBVA;24057800.00%
2017-10;BBVA;25293700.00%
2017-10;BBVA;25939000.00%
2017-10;BBVA;26376300.00%
2017-10;BBVA;26658200.00%
2017-10;BBVA;27796500.00%
2017-10;BNP Paribas;18984900.00%
2017-10;BNP Paribas;23806900.00%
2017-10;CaixaBank;463100.00%
2017-10;CaixaBank;465300.00%
2017-10;CaixaBank;1792700.00%
2017-10;CaixaBank;3795400.00%
2017-10;CaixaBank;8313300.00%
2017-10;CaixaBank;14987100.00%
2017-10;CaixaBank;19334200.00%
2017-10;CaixaBank;19365800.00%
2017-10;CaixaBank;22153000.00%
2017-10;CaixaBank;22948500.00%
2017-10;CaixaBank;24109300.00%
2017-10;CaixaBank;24279800.00%
2017-10;CaixaBank;24493900.00%
2017-10;CaixaBank;24699800.00%
2017-10;CaixaBank;25262600.00%
2017-10;CaixaBank;25310700.00%
2017-10;CaixaBank;25721600.00%
2017-10;CaixaBank;25903300.00%
2017-10;CaixaBank;26389400.00%
2017-10;CaixaBank;26442200.00%
2017-10;CaixaBank;26479500.00%
2017-10;Caja Rural de Navarra;26031100.00%
2017-10;CajaSur;18629000.00%
2017-10;EVO Banco;24708200.00%
2017-10;EVO Banco;26924000.00%
2017-10;Ibercaja;22797000.00%
2017-10;Ibercaja;23731400.00%
2017-10;Ibercaja;23740800.00%
2017-10;Ibercaja;25791100.00%
2017-10;Ibercaja;26048400.00%
2017-10;Ibercaja;26410000.00%
2017-10;Ibercaja;26479400.00%
2017-10;ING Direct;15032400.00%
2017-10;ING Direct;18281400.00%
2017-10;ING Direct;24527900.00%
2017-10;ING Direct;24558500.00%
2017-10;ING Direct;25342800.00%
2017-10;ING Direct;25442800.00%
2017-10;Kutxabank;22879700.00%
2017-10;Kutxabank;26242900.00%
2017-10;Kutxabank;26493400.00%
2017-10;Kutxabank;26787900.00%
2017-10;Laboral Kutxa;17868000.00%
2017-10;Laboral Kutxa;22347500.00%
2017-10;Laboral Kutxa;24273700.00%
2017-10;Laboral Kutxa;26375800.00%
2017-10;Liberbank;25437600.00%
2017-10;Liberbank;26419800.00%
2017-10;Morgan Stanley;24491900.00%
2017-10;Openbank;1200100.00%
2017-10;Openbank;24767300.00%
2017-10;Openbank;26386100.00%
2017-10;Openbank;26400000.00%
2017-10;Pictet;18985600.00%
2017-10;Pictet;24118300.00%
2017-10;Popular;25117300.00%
2017-10;Popular;26166300.00%
2017-10;Popular;26188900.00%
2017-10;Sabadell;470200.00%
2017-10;Sabadell;470700.00%
2017-10;Sabadell;2427500.00%
2017-10;Sabadell;3796300.00%
2017-10;Sabadell;15649000.00%
2017-10;Sabadell;15980000.00%
2017-10;Sabadell;16550800.00%
2017-10;Sabadell;17644400.00%
2017-10;Sabadell;22879600.00%
2017-10;Sabadell;23070200.00%
2017-10;Sabadell;23332100.00%
2017-10;Sabadell;23819900.00%
2017-10;Sabadell;24048200.00%
2017-10;Sabadell;24112600.00%
2017-10;Sabadell;25905200.00%
2017-10;Sabadell;26171600.00%
2017-10;Sabadell;26180200.00%
2017-10;Sabadell;26231700.00%
2017-10;Sabadell;26455100.00%
2017-10;Sabadell;26457600.00%
2017-10;Santander;1301400.00%
2017-10;Santander;1469100.00%
2017-10;Santander;1889900.00%
2017-10;Santander;8554400.00%
2017-10;Santander;10055900.00%
2017-10;Santander;13545900.00%
2017-10;Santander;14859800.00%
2017-10;Santander;16366400.00%
2017-10;Santander;17449700.00%
2017-10;Santander;18984700.00%
2017-10;Santander;23022200.00%
2017-10;Santander;24005200.00%
2017-10;Santander;24070100.00%
2017-10;Santander;24767600.00%
2017-10;Santander;24828100.00%
2017-10;Santander;25249700.00%
2017-10;Santander;25523800.00%
2017-10;Santander;25727500.00%
2017-10;Santander;25923600.00%
2017-10;Santander;26024400.00%
2017-10;Santander;26098400.00%
2017-10;Santander;26204100.00%
2017-10;Santander;26208500.00%
2017-10;Santander;26242300.00%
2017-10;Santander;26372500.00%
2017-10;Santander;26493100.00%
2017-10;Self Bank;7894500.00%
2017-10;Self Bank;9286700.00%
2017-10;Self Bank;16627700.00%
2017-10;Self Bank;19452500.00%
2017-10;Self Bank;23190500.00%
2017-10;Self Bank;25607400.00%
2017-10;UBS;22978200.00%
2017-10;Unicaja;23403800.00%
2017-10;Unicaja;23605000.00%
2017-10;Unicaja;24830800.00%
2017-10;Unicaja;25512900.00%
2017-10;Unicaja;25615600.00%
2017-10;Unicaja;25740200.00%
2017-10;WiZink;17055000.00%
2017-10;WiZink;23491700.00%
2017-10;WiZink;24503700.00%
2017-11;Abanca;25915200.00%
2017-11;a&g;25925700.00%
2017-11;Banca March;23601800.00%
2017-11;Bankia;1864200.00%
2017-11;Bankia;25119500.00%
2017-11;Bankia;25731000.00%
2017-11;Bankia;26374000.00%
2017-11;Bankia;26468900.00%
2017-11;Bankia;26657000.00%
2017-11;Bankinter;27034800.00%
2017-11;Bankinter;27195500.00%
2017-11;BBVA;2216600.00%
2017-11;BBVA;11199800.00%
2017-11;BBVA;15927300.00%
2017-11;BBVA;16595700.00%
2017-11;BBVA;17088100.00%
2017-11;BBVA;23345900.00%
2017-11;BBVA;24057800.00%
2017-11;BBVA;25293700.00%
2017-11;BBVA;25939000.00%
2017-11;BBVA;26658200.00%
2017-11;BBVA;26921400.00%
2017-11;BBVA;27163400.00%
2017-11;BBVA;27171100.00%
2017-11;BBVA;27172000.00%
2017-11;BBVA;27182200.00%
2017-11;BBVA;27796500.00%
2017-11;BNP Paribas;18984900.00%
2017-11;BNP Paribas;23806900.00%
2017-11;CaixaBank;463100.00%
2017-11;CaixaBank;465300.00%
2017-11;CaixaBank;1792700.00%
2017-11;CaixaBank;3795400.00%
2017-11;CaixaBank;8313300.00%
2017-11;CaixaBank;14987100.00%
2017-11;CaixaBank;17069800.00%
2017-11;CaixaBank;19334200.00%
2017-11;CaixaBank;19365800.00%
2017-11;CaixaBank;22153000.00%
2017-11;CaixaBank;23057400.00%
2017-11;CaixaBank;23490800.00%
2017-11;CaixaBank;24279800.00%
2017-11;CaixaBank;24493900.00%
2017-11;CaixaBank;25262600.00%
2017-11;CaixaBank;25310700.00%
2017-11;CaixaBank;25721600.00%
2017-11;CaixaBank;25903300.00%
2017-11;CaixaBank;26389400.00%
2017-11;CaixaBank;26442200.00%
2017-11;CaixaBank;26479500.00%
2017-11;CaixaBank;27036400.00%
2017-11;CaixaBank;27164800.00%
2017-11;CaixaBank;27171900.00%
2017-11;CaixaBank;27332700.00%
2017-11;CaixaBank;27379200.00%
2017-11;Caja Rural de Navarra;26031100.00%
2017-11;CajaSur;1996400.00%
2017-11;Coinc;25542600.00%
2017-11;Deutsche Bank;27207900.00%
2017-11;EVO Banco;24708200.00%
2017-11;Ferratum Bank;27930400.00%
2017-11;Ibercaja;22797000.00%
2017-11;Ibercaja;25112100.00%
2017-11;Ibercaja;25791100.00%
2017-11;Ibercaja;26479400.00%
2017-11;Ibercaja;27029300.00%
2017-11;Ibercaja;27308300.00%
2017-11;Ibercaja;27381500.00%
2017-11;imaginBank;23500400.00%
2017-11;ING Direct;15032400.00%
2017-11;ING Direct;18281400.00%
2017-11;ING Direct;24527900.00%
2017-11;ING Direct;24558500.00%
2017-11;ING Direct;25326900.00%
2017-11;ING Direct;25342800.00%
2017-11;ING Direct;27167800.00%
2017-11;ING Direct;27204400.00%
2017-11;Kutxabank;18275100.00%
2017-11;Kutxabank;22879700.00%
2017-11;Kutxabank;22948900.00%
2017-11;Kutxabank;26242900.00%
2017-11;Kutxabank;26493400.00%
2017-11;Kutxabank;26787900.00%
2017-11;Kutxabank;27183900.00%
2017-11;Laboral Kutxa;22347500.00%
2017-11;Laboral Kutxa;24273700.00%
2017-11;Laboral Kutxa;26787800.00%
2017-11;Laboral Kutxa;27294600.00%
2017-11;Liberbank;26419800.00%
2017-11;Liberbank;26440800.00%
2017-11;Morgan Stanley;27366900.00%
2017-11;Openbank;1200100.00%
2017-11;Openbank;24767300.00%
2017-11;Openbank;26400000.00%
2017-11;Openbank;26921800.00%
2017-11;Pictet;10058000.00%
2017-11;Pictet;18985600.00%
2017-11;Pictet;24118300.00%
2017-11;Popular;9527000.00%
2017-11;Popular;25117300.00%
2017-11;Popular;26188900.00%
2017-11;Sabadell;470200.00%
2017-11;Sabadell;470700.00%
2017-11;Sabadell;2427500.00%
2017-11;Sabadell;3796300.00%
2017-11;Sabadell;15980000.00%
2017-11;Sabadell;22879600.00%
2017-11;Sabadell;23070200.00%
2017-11;Sabadell;23332100.00%
2017-11;Sabadell;23819900.00%
2017-11;Sabadell;24112600.00%
2017-11;Sabadell;25905200.00%
2017-11;Sabadell;26231700.00%
2017-11;Sabadell;26457600.00%
2017-11;Sabadell;27164500.00%
2017-11;Sabadell;27166500.00%
2017-11;Santander;1301400.00%
2017-11;Santander;1889900.00%
2017-11;Santander;8554400.00%
2017-11;Santander;10055900.00%
2017-11;Santander;13545900.00%
2017-11;Santander;14859800.00%
2017-11;Santander;15421900.00%
2017-11;Santander;17449700.00%
2017-11;Santander;18984700.00%
2017-11;Santander;22419500.00%
2017-11;Santander;23022200.00%
2017-11;Santander;24767600.00%
2017-11;Santander;25249700.00%
2017-11;Santander;25727500.00%
2017-11;Santander;25923600.00%
2017-11;Santander;26024400.00%
2017-11;Santander;26098400.00%
2017-11;Santander;26204100.00%
2017-11;Santander;26208500.00%
2017-11;Santander;26242300.00%
2017-11;Santander;26493100.00%
2017-11;Santander;27023000.00%
2017-11;Santander;27215400.00%
2017-11;Santander;27367100.00%
2017-11;Santander;27728400.00%
2017-11;Self Bank;7894500.00%
2017-11;Self Bank;9286700.00%
2017-11;Self Bank;23190500.00%
2017-11;Self Bank;25607400.00%
2017-11;UBS;22978200.00%
2017-11;Unicaja;23403800.00%
2017-11;Unicaja;23605000.00%
2017-11;Unicaja;24830800.00%
2017-11;Unicaja;25512900.00%
2017-11;Unicaja;25740200.00%
2017-11;Unicaja;26397100.00%
2017-11;Unicaja;27351600.00%
2017-12;a&g;25925700.00%
2017-12;Banca March;23601800.00%
2017-12;Bankia;1864200.00%
2017-12;Bankia;22795200.00%
2017-12;Bankia;22979300.00%
2017-12;Bankia;26657000.00%
2017-12;BBVA;472900.00%
2017-12;BBVA;2216600.00%
2017-12;BBVA;11199800.00%
2017-12;BBVA;15927300.00%
2017-12;BBVA;16595700.00%
2017-12;BBVA;17088100.00%
2017-12;BBVA;23008800.00%
2017-12;BBVA;23900600.00%
2017-12;BBVA;25472400.00%
2017-12;BBVA;25939000.00%
2017-12;BBVA;25970300.00%
2017-12;BBVA;26658200.00%
2017-12;BBVA;26921400.00%
2017-12;BBVA;27163400.00%
2017-12;BBVA;27171100.00%
2017-12;BBVA;27172000.00%
2017-12;BBVA;27488800.00%
2017-12;BBVA;27796500.00%
2017-12;BNP Paribas;18984900.00%
2017-12;BNP Paribas;23806900.00%
2017-12;CaixaBank;463100.00%
2017-12;CaixaBank;1792700.00%
2017-12;CaixaBank;3795400.00%
2017-12;CaixaBank;8313300.00%
2017-12;CaixaBank;14987100.00%
2017-12;CaixaBank;19334200.00%
2017-12;CaixaBank;19365800.00%
2017-12;CaixaBank;22153000.00%
2017-12;CaixaBank;24493900.00%
2017-12;CaixaBank;25262600.00%
2017-12;CaixaBank;25310700.00%
2017-12;CaixaBank;25903300.00%
2017-12;CaixaBank;26442200.00%
2017-12;CaixaBank;27170300.00%
2017-12;CaixaBank;27171900.00%
2017-12;CaixaBank;27210300.00%
2017-12;CaixaBank;27332700.00%
2017-12;CaixaBank;27379200.00%
2017-12;CaixaBank;27682800.00%
2017-12;CajaSur;1996400.00%
2017-12;Deutsche Bank;27207900.00%
2017-12;Ibercaja;27029300.00%
2017-12;Ibercaja;27308300.00%
2017-12;Ibercaja;27381500.00%
2017-12;imaginBank;27513300.00%
2017-12;ING Direct;18281400.00%
2017-12;ING Direct;24527900.00%
2017-12;ING Direct;25342800.00%
2017-12;ING Direct;27167800.00%
2017-12;Kutxabank;22879700.00%
2017-12;Kutxabank;26493400.00%
2017-12;Kutxabank;26787900.00%
2017-12;Kutxabank;27183900.00%
2017-12;Kutxabank;27495800.00%
2017-12;Laboral Kutxa;27294600.00%
2017-12;Liberbank;26419800.00%
2017-12;Liberbank;26440800.00%
2017-12;Openbank;24767300.00%
2017-12;Openbank;26400000.00%
2017-12;Openbank;26921800.00%
2017-12;Pictet;10058000.00%
2017-12;Popular;25117300.00%
2017-12;Popular;26188900.00%
2017-12;Sabadell;470200.00%
2017-12;Sabadell;470700.00%
2017-12;Sabadell;2427500.00%
2017-12;Sabadell;23070200.00%
2017-12;Sabadell;23332100.00%
2017-12;Sabadell;23819900.00%
2017-12;Sabadell;24112600.00%
2017-12;Sabadell;25905200.00%
2017-12;Sabadell;26231700.00%
2017-12;Sabadell;27400200.00%
2017-12;Sabadell;27652300.00%
2017-12;Santander;1301400.00%
2017-12;Santander;8554400.00%
2017-12;Santander;10055900.00%
2017-12;Santander;14859800.00%
2017-12;Santander;17449700.00%
2017-12;Santander;18984700.00%
2017-12;Santander;24070100.00%
2017-12;Santander;25249700.00%
2017-12;Santander;25727500.00%
2017-12;Santander;25923600.00%
2017-12;Santander;26024400.00%
2017-12;Santander;26098400.00%
2017-12;Santander;26204100.00%
2017-12;Santander;26242300.00%
2017-12;Santander;27215400.00%
2017-12;Santander;27367100.00%
2017-12;Santander;27487200.00%
2017-12;Santander;27519300.00%
2017-12;Santander;27634500.00%
2017-12;Santander;27682300.00%
2017-12;Self Bank;7894500.00%
2017-12;UBS;22978200.00%
2017-12;UBS;27680700.00%
2017-12;Unicaja;23605000.00%
2017-12;Unicaja;24830800.00%
2017-12;Unicaja;27351600.00%
2017-12;Unicaja;27496300.00%
