MES:ENTIDAD:INVERSION
2017-01:ING:31.68,Bankia:27.41,BBVA:4.62,CaixaBank:15.20,Santander:13.25,Resto:7.84
2017-02:ING:26.63,Bankia:7.84,BBVA:3.37,CaixaBank:14.90,Santander:10.18,Resto:37.09
2017-03-ING:18.30,Bankia:6.81,BBVA:22.61,CaixaBank:11.10,Santander:15.76,Resto:25.42
2017-04-ING:12.33,Bankia:2.49,BBVA:18.84,CaixaBank:17.21,Santander:32.01,Resto:17.12
2017-05-ING:14.07,Bankia:3.48,BBVA:23.41,CaixaBank:15.69,ING:14.07,Santander:12.95,Resto:30.41
2017-06-ING:14.90,Bankia:10.10,BBVA:28.90,CaixaBank:11.56,Santander:6.38,Resto:28.16
2017-07-ING:18.25,Bankia:7.17,BBVA:27.40,CaixaBank:9.98,Santander:15.93,Resto:21.27
2017-08-ING:45.21,Bankia:0.89,BBVA:34.56,CaixaBank:5.82,Santander:6.37,Resto:7.15
2017-09-ING:24.11,Bankia:11.19,BBVA:17.55,CaixaBank:19.66,Santander:8.79,Resto:18.71
2017-10-ING:16.66,Bankia:2.90,BBVA:17.34,CaixaBank:11.22,Santander:24.02,Resto:27.85
2017-11-ING:25.97,Bankia:5.82,BBVA:24.29,CaixaBank:14.24,Santander:13.74,Resto:15.95
2017-12-ING:35.56,Bankia:4.03,BBVA:16.81,CaixaBank:21.56,Santander:13.49,Resto:8.55

2017-01:Popular:15991400.00%
2017-01:Popular:16697500.00%
2017-01:Popular:17481100.00%
2017-01:Popular:19384500.00%
2017-01:Sabadell:470200.00%
2017-01:Sabadell:470700.00%
2017-01:Sabadell:2427500.00%
2017-01:Sabadell:3796300.00%
2017-01:Sabadell:8053500.00%
2017-01:Sabadell:9944400.00%
2017-01:Sabadell:13498700.00%
2017-01:Sabadell:15650000.00%
2017-01:Sabadell:17944900.00%
2017-01:Sabadell:18271500.00%
2017-01:Sabadell:22879600.00%
2017-01:Sabadell:24401500.00%
2017-01:Sabadell:24557200.00%
2017-01:Santander:464300.00%
2017-01:Santander:1301400.00%
2017-01:Santander:4626800.00%
2017-01:Santander:8554400.00%
2017-01:Santander:10055900.00%
2017-01:Santander:13545900.00%
2017-01:Santander:14859800.00%
2017-01:Santander:16625300.00%
2017-01:Santander:16707000.00%
2017-01:Santander:16793200.00%
2017-01:Santander:17449700.00%
2017-01:Santander:18053400.00%
2017-01:Santander:18175600.00%
2017-01:Santander:18964900.00%
2017-01:Santander:19336000.00%
2017-01:Santander:19462700.00%
2017-01:Santander:19516200.00%
2017-01:Santander:22419500.00%
2017-01:Santander:22895800.00%
2017-01:Santander:22934200.00%
2017-01:Self Bank:7894500.00%
2017-01:Self Bank:19452500.00%
2017-01:Self Bank:23190500.00%
2017-01:Self Bank:24724400.00%
2017-01:UBS:22795700.00%
2017-01:UBS:22978200.00%
2017-01:Unicaja:20714200.00%
2017-01:WiZink:17055000.00%
